hour_of_year,season,u_mean_ms,u_prime_ms,omega_rad_s,omega_cross_r_ms,tsr,cp_effective,v_rel_ms,v_rel_mag_ms,particle_density,n_inner,n_outer,h_capture,dh_dt,capture_alert
77,Amihan,1.9763245218719727,-0.0844389881989586,7.90529808748789,5.928973565615918,0.0,0.0,-4.037088031942904,4.037088031942904,0.0,0,0,0.0,0.0,0
78,Amihan,2.2844611408735176,0.036217776355084566,9.13784456349407,6.853383422620553,0.0,0.0,-4.532704505391951,4.532704505391951,0.0,0,0,0.0,0.0,0
79,Amihan,2.64572476315119,0.1655139996908892,10.58289905260476,7.937174289453571,3.0,0.3,-5.125935526611491,5.125935526611491,0.0625,0,5,0.01875,5.208333333333333e-06,0
80,Amihan,2.7519787697034466,-0.085131510979132,11.007915078813786,8.25593630911034,3.0,0.3,-5.589089050386025,5.589089050386025,0.0,0,0,0.0,-5.208333333333333e-06,1
81,Amihan,2.72010256773777,0.12424754965589448,10.88041027095108,8.16030770321331,3.0,0.3,-5.315957585819644,5.315957585819644,0.0,0,0,0.0,0.0,0
82,Amihan,3.1451185939467963,-0.20818355850644563,12.580474375787185,9.43535578184039,3.0,0.3,-6.498420746400038,6.498420746400038,0.3625,0,29,0.10875,3.0208333333333334e-05,0
83,Amihan,3.2088709978781504,-0.11649929589107628,12.835483991512602,9.62661299363445,3.0,0.3,-6.534241291647376,6.534241291647376,0.0,0,0,0.0,-3.0208333333333334e-05,1
84,Amihan,3.1026169913258936,-0.11843864761521787,12.410467965303575,9.307850973977681,3.0,0.3,-6.323672630267005,6.323672630267005,0.0,0,0,0.0,0.0,0
85,Amihan,2.9326105808422827,-0.3506931997645103,11.73044232336913,8.797831742526848,3.0,0.3,-6.215914361449075,6.215914361449075,0.475,0,38,0.1425,3.958333333333333e-05,0
86,Amihan,2.443842150701902,0.1190083874775677,9.775368602807609,7.331526452105706,0.0,0.0,-4.768675913926236,4.768675913926236,0.2375,5,19,0.0,-3.958333333333333e-05,1
87,Amihan,1.83819431335404,-0.08628527124357256,7.35277725341616,5.51458294006212,0.0,0.0,-3.762673897951652,3.762673897951652,0.0,0,0,0.0,0.0,0
88,Amihan,1.4131782871450134,0.0017656417302979758,5.652713148580053,4.23953486143504,0.0,0.0,-2.8245909325597283,2.8245909325597283,0.0125,0,1,0.0,0.0,0
89,Amihan,1.476930691076367,0.07100294951705587,5.907722764305468,4.430792073229101,0.0,0.0,-2.882858432635678,2.882858432635678,0.0375,1,3,0.0,0.0,0
90,Amihan,1.9975753231824245,0.08919796582690435,7.990301292729698,5.992725969547274,0.0,0.0,-3.9059526805379448,3.9059526805379448,0.7625,11,61,0.0,0.0,0
91,Amihan,2.624473961840739,0.17462858930956404,10.497895847362956,7.873421885522218,3.0,0.3,-5.074319334371914,5.074319334371914,0.0,0,0,0.0,0.0,0
92,Amihan,2.8688581769109294,-0.02825408875418946,11.475432707643717,8.606574530732788,3.0,0.3,-5.765970442576048,5.765970442576048,0.0,0,0,0.0,0.0,0
93,Amihan,2.836981974945252,-0.12008896812940148,11.347927899781007,8.510945924835756,3.0,0.3,-5.794052918019906,5.794052918019906,0.0,0,0,0.0,0.0,0
94,Amihan,2.454467551357128,-0.01956657619220004,9.817870205428513,7.363402654071384,0.0,0.0,-4.928501678906456,4.928501678906456,0.2125,0,17,0.0,0.0,0
95,Amihan,1.9338229192510707,-0.326300600082957,7.735291677004283,5.801468757753212,0.0,0.0,-4.193946438585098,4.193946438585098,0.0,0,0,0.0,0.0,0
96,Amihan,1.8063181113883624,-0.2613945468153815,7.22527244555345,5.418954334165087,0.0,0.0,-3.874030769592106,3.874030769592106,0.025,0,2,0.0,0.0,0
97,Amihan,2.199457935631712,-0.29092221588498796,8.797831742526848,6.598373806895136,0.0,0.0,-4.689838087148412,4.689838087148412,0.0875,0,7,0.0,0.0,0
98,Amihan,2.656350163806416,-0.2649036773854625,10.625400655225665,7.969050491419249,3.0,0.3,-5.577604004998295,5.577604004998295,0.9125,33,73,0.27375,7.604166666666667e-05,0
99,Amihan,3.049489988049765,0.12191075018734568,12.197959952199062,9.148469964149296,3.0000000000000004,0.3,-5.977069225912185,5.977069225912185,0.0,0,0,0.0,-7.604166666666667e-05,1
100,Amihan,3.378877408361761,-0.30595027239008576,13.515509633447044,10.136632225085282,3.0,0.3,-7.063705089113608,7.063705089113608,0.0125,0,1,0.00375,1.0416666666666667e-06,0
101,Amihan,3.5807600208110486,-0.13541093548720445,14.323040083244194,10.742280062433146,3.0,0.3,-7.296930977109302,7.296930977109302,0.575,0,46,0.1725,4.6874999999999994e-05,0
102,Amihan,3.67638862670808,0.477646813747799,14.70555450683232,11.02916588012424,3.0,0.3,-6.87513043966836,6.87513043966836,0.0,0,0,0.0,-4.791666666666666e-05,1
103,Amihan,3.347001206396084,-0.11924159409380522,13.388004825584337,10.041003619188253,3.0000000000000004,0.3,-6.813244006885974,6.813244006885974,0.05,0,4,0.015,4.166666666666667e-06,0
104,Amihan,3.166369395257248,0.23352467245199343,12.66547758102899,9.499108185771743,2.9999999999999996,0.3,-6.099214118062502,6.099214118062502,0.675,0,54,0.2025,5.208333333333334e-05,0
105,Amihan,3.4107536103274376,-0.3184339872759214,13.64301444130975,10.232260830982312,3.0,0.3,-7.1399412079307965,7.1399412079307965,0.0,0,0,0.0,-5.6250000000000005e-05,1
106,Amihan,3.633887024087177,-0.07465368757953392,14.535548096348707,10.90166107226153,3.0,0.3,-7.342427735753888,7.342427735753888,0.075,0,6,0.0225,6.2499999999999995e-06,0
107,Amihan,3.7720172326051102,-0.3583499562477631,15.088068930420441,11.31605169781533,3.0,0.3,-7.902384421457984,7.902384421457984,0.4125,0,33,0.12374999999999999,2.8124999999999992e-05,0
108,Amihan,3.899522040467818,-0.1322066951921842,15.598088161871273,11.698566121403454,3.0,0.3,-7.93125077612782,7.93125077612782,0.0,0,0,0.0,-3.4374999999999995e-05,1
109,Amihan,3.984525245709624,0.33482289878742255,15.938100982838497,11.953575737128872,3.0000000000000004,0.3,-7.634227592631826,7.634227592631826,0.1,2,8,0.03,8.333333333333334e-06,0
110,Amihan,4.112030053572331,-0.7102793492316216,16.448120214289325,12.336090160716994,3.0,0.3,-8.934339456376284,8.934339456376284,0.5,0,40,0.15,3.3333333333333335e-05,0
111,Amihan,4.324538066676845,0.18786815835785128,17.29815226670738,12.973614200030536,3.0,0.3,-8.46120797499584,8.46120797499584,0.0375,2,3,0.01125,-3.8541666666666664e-05,0
112,Amihan,4.186407858158911,0.09952581937679902,16.745631432635644,12.559223574476732,3.0,0.3,-8.273289896941023,8.273289896941023,0.2625,10,21,0.07875,1.8750000000000002e-05,0
113,Amihan,3.793268033915561,-0.2253770034296997,15.173072135662244,11.379804101746682,3.0,0.3,-7.811913071260821,7.811913071260821,0.6,0,48,0.18,2.8125e-05,0
114,Amihan,3.52763301753492,-0.5101161432406416,14.110532070139678,10.582899052604759,2.9999999999999996,0.3,-7.565382178310481,7.565382178310481,0.0,0,0,0.0,-4.9999999999999996e-05,1
115,Amihan,3.230121799188601,0.023298709523131227,12.920487196754403,9.690365397565802,2.9999999999999996,0.3,-6.43694488885407,6.43694488885407,0.0875,0,7,0.02625,7.291666666666667e-06,0
116,Amihan,2.8263565742900267,-0.14965351993011144,11.305426297160105,8.47906972287008,2.9999999999999996,0.3,-5.802366668510164,5.802366668510164,0.025,0,2,0.0075,-5.208333333333333e-06,0
