hour_of_year,datetime,month,hour_of_day,season,wind_speed_10m_ms,wind_direction_10m_deg,wind_speed_50m_ms,wind_speed_15m_ms,wind_speed_20m_ms,wind_speed_25m_ms,wind_speed_30m_ms,wind_speed_40m_ms,air_temp_c,relative_humidity_pct,air_density_kgm3,outlier_flag,wind_speed_50m_ms_derived,alpha_actual
40,2023-01-02 15:00:00,1,15,Amihan,5.21,26.0,6.33,5.535833741372571,5.77930130317461,5.975499441003419,6.140739185349802,6.410810662740065,27.47,84.62,1.113062171512208,0,6.6284475444357405,0.1209865748075461
41,2023-01-02 16:00:00,1,16,Amihan,5.03,25.4,6.64,5.344576529578509,5.579632544139787,5.769052243425565,5.928583129042132,6.189323921992808,27.2,87.08,1.1140627601132014,0,6.399441679176925,0.1725397278337476
42,2023-01-02 17:00:00,1,17,Amihan,4.95,27.8,7.12,5.259573324336704,5.490890873457643,5.677297933390964,5.8342915484609446,6.090885370549582,26.67,89.39,1.116032119271563,0,6.29766129461745,0.2258677678926431
43,2023-01-02 18:00:00,1,18,Amihan,4.82,33.2,6.97,5.12144311581877,5.34668565859916,5.528197179584737,5.681067730016516,5.930922724454341,26.32,90.86,1.1173364610812435,0,6.132268169708306,0.2291739829541427
44,2023-01-02 19:00:00,1,19,Amihan,4.29,33.5,6.34,4.55829688109181,4.758772090329957,4.920324875605502,5.056386008666152,5.278767321142971,26.03,91.7,1.1184195133364532,0,5.45797312200179,0.2426884768226199
45,2023-01-02 20:00:00,1,20,Amihan,4.12,23.6,6.11,4.3776650699529736,4.570196040130402,4.725346966781975,4.856016399931129,5.069585399326117,25.88,92.12,1.1189805370698591,0,5.241689804812908,0.2448517005704652
46,2023-01-02 21:00:00,1,21,Amihan,5.09,15.4,7.39,5.408328933509862,5.646188797151394,5.837867975951516,5.999301814478022,6.263152835575227,25.97,92.33,1.1186438553089062,0,6.47577696759653,0.2316646709494894
47,2023-01-02 22:00:00,1,22,Amihan,5.91,14.9,8.08,6.279611787238367,6.555790921643368,6.778349653806181,6.965790515435189,7.272147987868289,26.03,92.64,1.1184195133364532,0,7.519025909331138,0.1943200409899644
48,2023-01-02 23:00:00,1,23,Amihan,5.91,15.8,8.03,6.279611787238367,6.555790921643368,6.778349653806181,6.965790515435189,7.272147987868289,25.96,93.58,1.118681254388018,0,7.519025909331138,0.1904632009550818
49,2023-01-03 00:00:00,1,0,Amihan,5.52,25.3,7.6,5.865221161684565,6.123175277067917,6.331047392387498,6.506119060101901,6.792260049582564,25.82,93.96,1.119205104191056,0,7.022846534603701,0.1986845124827856
50,2023-01-03 01:00:00,1,1,Amihan,4.96,42.1,7.23,5.270198724991928,5.501983582292911,5.688767222145289,5.846077996033593,6.103190189479985,25.65,92.65,1.1198418674698796,0,6.310383842687385,0.2341396909582661
51,2023-01-03 02:00:00,1,2,Amihan,4.2,46.7,6.26,4.462668275194779,4.658937710812546,4.817101276816576,4.950307980512317,5.168023950769343,25.44,90.6,1.1206294584547374,0,5.343470189372383,0.2479720756789527
52,2023-01-03 03:00:00,1,3,Amihan,3.63,34.6,5.33,3.857020437846916,4.026653307202271,4.16335181782004,4.27848046887136,4.46664927173636,25.22,89.88,1.1214557428695917,0,4.61828494938613,0.2386662989192643
53,2023-01-03 04:00:00,1,4,Amihan,3.86,22.4,5.65,4.101404652917106,4.281785610413435,4.42714545916952,4.549568763042272,4.749660107135633,25.16,89.83,1.1216813046830478,0,4.910903554994618,0.2367213787734169
54,2023-01-03 05:00:00,1,5,Amihan,4.55,17.0,6.63,4.8345572981276765,5.047182520046924,5.218526383217957,5.36283364555501,5.598692613333454,25.21,89.97,1.1214933302051215,0,5.78875937182008,0.2339186670864056
55,2023-01-03 06:00:00,1,6,Amihan,5.29,17.8,7.37,5.620836946614376,5.868042973856754,6.06725375103802,6.23503076593099,6.509249214183291,25.5,89.9,1.1204043194374689,0,6.730227928995214,0.2060343289847876
56,2023-01-03 07:00:00,1,7,Amihan,6.13,22.3,7.84,6.513370601653332,6.799830516019263,7.030674006401335,7.225092362033452,7.542854004337159,25.99,88.67,1.1185690646520023,0,7.798921966869691,0.1528757850882743
57,2023-01-03 08:00:00,1,8,Amihan,6.33,28.2,7.8,6.725878614757844,7.021684692724622,7.260059781487839,7.46082131348642,7.788950382945223,26.24,88.02,1.1176350245499185,0,8.053372928268375,0.1297493341781904
58,2023-01-03 09:00:00,1,9,Amihan,5.85,32.1,6.9,6.215859383307013,6.48923466863176,6.709533921280229,6.8950718299992975,7.19831907428587,26.48,87.86,1.116739812435337,0,7.442690620911532,0.102569815886705
59,2023-01-03 10:00:00,1,10,Amihan,5.64,33.4,6.54,5.992725969547274,6.256287783091133,6.468678857439401,6.647556430973682,6.939917876747402,26.9,86.61,1.115176637227129,0,7.175517111442913,0.0919905631744599
60,2023-01-03 11:00:00,1,11,Amihan,5.42,31.0,6.21,5.758967155132309,6.012248188715238,6.216354504844247,6.388254584375418,6.669211860278533,27.24,85.65,1.1139144112653552,0,6.895621053904359,0.0845419878844837
61,2023-01-03 12:00:00,1,12,Amihan,5.19,26.2,5.9,5.51458294006212,5.757115885504075,5.952560863494769,6.117166290204506,6.386201024879259,27.52,84.77,1.112877074533542,0,6.6030024482958725,0.0796667288270596
62,2023-01-03 13:00:00,1,13,Amihan,4.86,18.5,5.47,5.163944718439673,5.391056493940232,5.574074334602038,5.72821352030711,5.980142000175954,27.71,84.39,1.112174267100977,0,6.183158361988043,0.0734667535839651
63,2023-01-03 14:00:00,1,14,Amihan,4.57,9.1,5.17,4.8558080994381285,5.069367937717461,5.241464960726607,5.386406540700307,5.623302251194261,27.64,85.2,1.1124330928554806,0,5.814204467959949,0.0766475566787516
64,2023-01-03 15:00:00,1,15,Amihan,4.55,16.2,5.54,4.8345572981276765,5.047182520046924,5.218526383217957,5.36283364555501,5.598692613333454,27.41,87.02,1.1132843691775354,0,5.78875937182008,0.1223205109531644
65,2023-01-03 16:00:00,1,16,Amihan,4.58,21.0,6.06,4.866433500093354,5.080460646552728,5.252934249480933,5.398192988272955,5.635607070124664,26.87,89.72,1.115288147456836,0,5.826927016029884,0.1739804933087747
66,2023-01-03 17:00:00,1,17,Amihan,4.49,22.4,6.2,4.770804894196323,4.9806262670353165,5.149710650692006,5.29211496011912,5.524863699751036,26.41,91.73,1.1170007677927627,0,5.712424083400475,0.2005026648147236
67,2023-01-03 18:00:00,1,18,Amihan,4.11,26.4,5.79,4.367039669297748,4.559103331295135,4.713877678027649,4.844229952358481,5.057280580395714,26.25,92.56,1.1175976953907816,0,5.228967256742974,0.2129372375467718
68,2023-01-03 19:00:00,1,19,Amihan,3.6,35.3,5.18,3.825144235881239,3.993375180696468,4.128943951557065,4.243121126153414,4.429734814945151,26.26,92.52,1.1175603687251596,0,4.580117305176327,0.2260858949563401
69,2023-01-03 20:00:00,1,20,Amihan,3.29,45.4,4.69,3.495756815569244,3.6495012068031607,3.773396000172984,3.8777412514013143,4.048285428102652,26.29,90.77,1.117448403686882,0,4.185718315008366,0.2202912053592031
70,2023-01-03 21:00:00,1,21,Amihan,2.82,53.2,3.8,2.996362984773637,3.1281438915455664,3.2343394287197005,3.323778215486841,3.469958938373701,26.26,88.22,1.1175603687251596,0,3.5877585557214564,0.1853219558691926
71,2023-01-03 22:00:00,1,22,Amihan,2.4,52.3,3.13,2.550096157254159,2.662250120464312,2.752629301038043,2.828747417435609,2.953156543296767,26.25,86.03,1.1175976953907816,0,3.053411536784218,0.1650043565809412
72,2023-01-03 23:00:00,1,23,Amihan,2.32,54.1,2.99,2.4650929520123537,2.573508449782168,2.6608749910034417,2.7344558368544223,2.854717991853541,26.16,85.23,1.1179337476195248,0,2.9516311522247443,0.1576365262457832
73,2023-01-04 00:00:00,1,0,Amihan,2.18,55.1,2.78,2.3163373428391947,2.4182105260884166,2.5003049484428894,2.5694455708373454,2.682450526827897,26.01,85.16,1.1184942839951866,0,2.773515479245665,0.1510627089266501
74,2023-01-04 01:00:00,1,1,Amihan,1.9,53.8,2.39,2.018826124492876,2.1076146787009136,2.179164863321784,2.2394250388031907,2.337915596776607,25.86,85.22,1.1190553827631182,0,2.417284133287506,0.142558764148921
75,2023-01-04 02:00:00,1,2,Amihan,1.24,40.8,1.51,1.317549681247982,1.3754958955732275,1.4221918055363223,1.4615194990083982,1.5257975473699965,25.88,82.97,1.1189805370698591,0,1.5775959606718462,0.1224019079505521
76,2023-01-04 03:00:00,1,3,Amihan,0.87,322.5,1.0,0.9244098570046326,0.965065668668313,0.9978281216262906,1.0254209388204083,1.0705192469450782,25.81,81.83,1.119242540808135,0,1.1068616820842792,0.0865283874933012
77,2023-01-04 04:00:00,1,4,Amihan,1.86,289.8,2.3,1.9763245218719732,2.063243843359842,2.133287708304484,2.1922792485125977,2.2886963210549944,25.35,85.08,1.1209673366834172,0,2.366393941007769,0.1319296840030715
78,2023-01-04 05:00:00,1,5,Amihan,2.15,289.3,2.7,2.2844611408735176,2.3849323995826124,2.465897082179913,2.5340862281194,2.645536070036687,25.16,86.97,1.1216813046830478,0,2.735347835035862,0.141530113781285
79,2023-01-04 06:00:00,1,6,Amihan,2.49,327.7,3.36,2.64572476315119,2.762084499981724,2.85585289982697,2.9348254455894454,3.063899913670396,25.34,89.49,1.1210048912861403,0,3.1679144694136268,0.1861881475410852
80,2023-01-04 07:00:00,1,7,Amihan,2.59,329.1,3.46,2.7519787697034466,2.873011588334403,2.970545787370221,3.0526899213159284,3.186948102974428,25.46,91.55,1.1205544020628917,0,3.295139950112969,0.1799452536321713
81,2023-01-04 08:00:00,1,8,Amihan,2.56,324.1,3.12,2.72010256773777,2.839733461828599,2.936137921107246,3.017330578597984,3.150033646183218,25.55,90.35,1.1202167726816203,0,3.256972305903166,0.1229160452861023
82,2023-01-04 09:00:00,1,9,Amihan,2.96,333.5,3.35,3.1451185939467963,3.2834418152393177,3.394909471280253,3.4887884815039185,3.642226403399346,25.66,88.94,1.1198043907499748,0,3.765874228700536,0.0769032943394602
83,2023-01-04 10:00:00,1,10,Amihan,3.02,343.7,3.23,3.2088709978781504,3.3499980682509256,3.4637252038062045,3.5595071669398086,3.716055316981765,25.61,88.21,1.1199917994376758,0,3.842209517120141,0.0417694310096845
84,2023-01-04 11:00:00,1,11,Amihan,2.92,348.5,3.08,3.1026169913258936,3.239070979898246,3.3490323162629525,3.4416426912133247,3.5930071276777333,25.69,87.45,1.119691975639138,0,3.714984036420799,0.0331457214305413
85,2023-01-04 12:00:00,1,12,Amihan,2.76,343.8,2.9,2.9326105808422827,3.0615876385339584,3.165523696193749,3.2530595300509506,3.396130024791282,25.58,87.74,1.1201042747631642,0,3.5114232673018506,0.0307436881417416
86,2023-01-04 13:00:00,1,13,Amihan,2.3,333.7,2.4,2.443842150701902,2.551323032111632,2.637936413494791,2.7108829417091256,2.8301083539927347,25.27,88.97,1.1212678439782855,0,2.926186056084876,0.0264437752397848
87,2023-01-04 14:00:00,1,14,Amihan,1.73,327.8,1.78,1.83819431335404,1.919038628501358,1.984186954498256,2.0390554300681685,2.128733674959753,25.02,89.37,1.122207968608512,0,2.201000816098624,0.0177030474889306
88,2023-01-04 15:00:00,1,15,Amihan,1.33,315.6,1.36,1.4131782871450134,1.4753302750906396,1.525415404325249,1.5675975271622338,1.6365409177436252,24.96,89.69,1.1224338331488375,0,1.6920988933012544,0.013859346385449
89,2023-01-04 16:00:00,1,16,Amihan,1.39,318.5,1.62,1.476930691076367,1.5418865281022471,1.5942311368512,1.6383162125981237,1.7103698313260445,24.88,91.54,1.1227351273361743,0,1.7684341817208598,0.0951402976894656
90,2023-01-04 17:00:00,1,17,Amihan,1.88,340.8,2.58,1.9975753231824245,2.0854292610303773,2.156226285813134,2.215852143657894,2.3133059589158007,24.84,93.39,1.1228858350951376,0,2.391839037147637,0.1966634560092906
91,2023-01-04 18:00:00,1,18,Amihan,2.47,2.5,3.48,2.624473961840739,2.739899082311188,2.83291432231832,2.911252550444148,3.0392902758095897,24.95,93.63,1.1224714860784972,0,3.1424693732737583,0.2130024031980381
92,2023-01-04 19:00:00,1,19,Amihan,2.7,24.5,3.83,2.8688581769109294,2.995031385522351,3.0967079636677988,3.182340844615061,3.3223011112088634,25.1,93.06,1.1219069572506286,0,3.4350879788822457,0.2172267892294891
